type,stamp_relative,stamp_absolute,error,linear_x,angular_z
command,4.635427,1761866490.295833,nan,0.550000,0.050072
error,4.658176,1761866490.318583,0.070732,0.550000,0.050072
command,4.668295,1761866490.328702,nan,0.550000,-0.004428
error,4.698428,1761866490.358835,0.046341,0.550000,-0.004428
command,4.702507,1761866490.362914,nan,0.550000,0.049512
error,4.727899,1761866490.388306,0.021951,0.550000,0.049512
command,4.734722,1761866490.395128,nan,0.300000,-0.120588
error,4.758148,1761866490.418555,-0.002439,0.300000,-0.120588
command,4.767889,1761866490.428296,nan,0.300000,-0.067373
error,4.791669,1761866490.452076,-0.029268,0.300000,-0.067373
command,4.800956,1761866490.461362,nan,0.300000,-0.093154
error,4.824922,1761866490.485328,-0.056098,0.300000,-0.093154
command,4.834377,1761866490.494783,nan,0.300000,-0.111861
error,4.864661,1761866490.525067,-0.075610,0.300000,-0.111861
command,4.866762,1761866490.527169,nan,0.300000,-0.039268
error,4.894524,1761866490.554931,-0.092683,0.300000,-0.039268
command,4.900519,1761866490.560926,nan,0.300000,-0.164118
error,4.927167,1761866490.587574,-0.109756,0.300000,-0.164118
command,4.934257,1761866490.594663,nan,0.300000,-0.123202
error,4.957909,1761866490.618316,-0.124390,0.300000,-0.123202
command,4.966594,1761866490.627001,nan,0.300000,-0.126698
error,4.991540,1761866490.651947,-0.151220,0.300000,-0.126698
command,4.998955,1761866490.659362,nan,0.300000,-0.180572
error,5.024817,1761866490.685224,-0.175610,0.300000,-0.180572
command,5.033076,1761866490.693482,nan,0.300000,-0.187201
command,5.065610,1761866490.726017,nan,0.300000,-0.122927
error,5.066136,1761866490.726543,-0.207317,0.300000,-0.122927
error,5.092177,1761866490.752584,-0.236585,0.300000,-0.122927
command,5.097815,1761866490.758222,nan,0.300000,-0.335035
error,5.125475,1761866490.785882,-0.278049,0.300000,-0.335035
command,5.130746,1761866490.791152,nan,0.300000,-0.309195
command,5.163829,1761866490.824236,nan,0.300000,-0.194634
error,5.165244,1761866490.825650,-0.319512,0.300000,-0.194634
error,5.192024,1761866490.852431,-0.346341,0.300000,-0.194634
command,5.197107,1761866490.857514,nan,0.300000,-0.428361
error,5.227566,1761866490.887972,-0.382927,0.300000,-0.428361
command,5.229517,1761866490.889923,nan,0.300000,-0.242439
error,5.258146,1761866490.918553,-0.426829,0.300000,-0.242439
command,5.262544,1761866490.922951,nan,0.300000,-0.519290
error,5.291039,1761866490.951446,-0.443902,0.300000,-0.519290
command,5.295367,1761866490.955774,nan,0.300000,-0.357348
command,5.328809,1761866490.989215,nan,0.300000,-0.310732
error,5.331574,1761866490.991981,-0.453659,0.300000,-0.310732
error,5.358145,1761866491.018552,-0.439024,0.300000,-0.310732
command,5.362148,1761866491.022555,nan,0.300000,-0.294430
command,5.394549,1761866491.054956,nan,0.300000,-0.307317
error,5.401006,1761866491.061413,-0.404878,0.300000,-0.307317
error,5.425017,1761866491.085424,-0.375610,0.300000,-0.307317
command,5.427906,1761866491.088313,nan,0.300000,-0.191629
error,5.458413,1761866491.118820,-0.336585,0.300000,-0.191629
command,5.460558,1761866491.120965,nan,0.300000,-0.181632
error,5.491747,1761866491.152154,-0.302439,0.300000,-0.181632
command,5.493995,1761866491.154401,nan,0.300000,-0.130254
command,5.527779,1761866491.188185,nan,0.300000,-0.120031
error,5.532281,1761866491.192688,-0.275610,0.300000,-0.120031
command,5.560244,1761866491.220651,nan,0.300000,-0.118543
error,5.560816,1761866491.221222,-0.270732,0.300000,-0.118543
error,5.592389,1761866491.252795,-0.260976,0.300000,-0.118543
command,5.592817,1761866491.253224,nan,0.300000,-0.176014
command,5.625794,1761866491.286201,nan,0.300000,-0.156816
error,5.631411,1761866491.291817,-0.265854,0.300000,-0.156816
command,5.659363,1761866491.319770,nan,0.300000,-0.199556
error,5.659406,1761866491.319813,-0.260976,0.300000,-0.199556
error,5.691702,1761866491.352108,-0.243902,0.300000,-0.199556
command,5.691781,1761866491.352188,nan,0.300000,-0.169214
command,5.726557,1761866491.386964,nan,0.300000,-0.124949
error,5.733199,1761866491.393606,-0.229268,0.300000,-0.124949
command,5.758019,1761866491.418425,nan,0.300000,-0.120146
error,5.759046,1761866491.419453,-0.197561,0.300000,-0.120146
command,5.790612,1761866491.451019,nan,0.300000,-0.050945
error,5.798375,1761866491.458782,-0.156098,0.300000,-0.050945
command,5.824133,1761866491.484540,nan,0.550000,0.002752
error,5.824602,1761866491.485008,-0.100000,0.550000,0.002752
command,5.856643,1761866491.517050,nan,0.550000,0.083928
error,5.858609,1761866491.519016,-0.048780,0.550000,0.083928
command,5.893089,1761866491.553496,nan,0.300000,0.104325
error,5.900897,1761866491.561304,0.014634,0.300000,0.104325
command,5.922645,1761866491.583051,nan,0.300000,0.182554
error,5.927588,1761866491.587995,0.060976,0.300000,0.182554
command,5.957026,1761866491.617432,nan,0.300000,0.169374
error,5.964212,1761866491.624619,0.131707,0.300000,0.169374
command,5.990660,1761866491.651066,nan,0.300000,0.282864
error,5.991410,1761866491.651816,0.234146,0.300000,0.282864
command,6.022714,1761866491.683120,nan,0.300000,0.444494
error,6.031146,1761866491.691552,0.341463,0.300000,0.444494
command,6.054423,1761866491.714830,nan,0.300000,0.532959
error,6.060112,1761866491.720519,0.500000,0.300000,0.532959
command,6.087224,1761866491.747631,nan,0.300000,0.786780
error,6.091184,1761866491.751591,0.500000,0.300000,0.786780
command,6.121172,1761866491.781579,nan,0.300000,0.350000
error,6.125527,1761866491.785934,0.500000,0.300000,0.350000
command,6.157037,1761866491.817443,nan,0.300000,0.350000
error,6.163649,1761866491.824055,0.500000,0.300000,0.350000
command,6.186489,1761866491.846896,nan,0.300000,0.350000
error,6.191720,1761866491.852127,0.500000,0.300000,0.350000
command,6.221435,1761866491.881842,nan,0.300000,0.350000
error,6.232656,1761866491.893063,0.500000,0.300000,0.350000
command,6.252212,1761866491.912619,nan,0.300000,0.350000
error,6.258428,1761866491.918834,0.500000,0.300000,0.350000
command,6.287617,1761866491.948024,nan,0.300000,0.350000
error,6.297214,1761866491.957621,0.573171,0.300000,0.350000
command,6.319153,1761866491.979560,nan,0.300000,0.601164
error,6.325608,1761866491.986015,0.475610,0.300000,0.601164
command,6.355590,1761866492.015997,nan,0.550000,0.067324
error,6.364052,1761866492.024458,0.365854,0.550000,0.067324
command,6.384277,1761866492.044684,nan,0.300000,-0.051882
error,6.393189,1761866492.053596,0.241463,0.300000,-0.051882
command,6.417228,1761866492.077635,nan,0.300000,-0.171518
error,6.424370,1761866492.084777,0.107317,0.300000,-0.171518
command,6.450209,1761866492.110615,nan,0.300000,-0.291102
error,6.457742,1761866492.118149,0.007317,0.300000,-0.291102
command,6.484207,1761866492.144614,nan,0.300000,-0.259442
error,6.491299,1761866492.151706,-0.053659,0.300000,-0.259442
command,6.520585,1761866492.180992,nan,0.300000,-0.203573
error,6.531790,1761866492.192196,-0.082927,0.300000,-0.203573
command,6.548931,1761866492.209338,nan,0.300000,-0.140559
error,6.560433,1761866492.220840,-0.090244,0.300000,-0.140559
command,6.586166,1761866492.246573,nan,0.300000,-0.082594
error,6.598031,1761866492.258437,-0.087805,0.300000,-0.082594
command,6.615781,1761866492.276187,nan,0.300000,-0.054755
error,6.624774,1761866492.285181,-0.073171,0.300000,-0.054755
command,6.648856,1761866492.309263,nan,0.300000,-0.011253
error,6.658043,1761866492.318450,-0.046341,0.300000,-0.011253
command,6.684659,1761866492.345066,nan,0.550000,0.040431
error,6.697222,1761866492.357628,-0.012195,0.550000,0.040431
command,6.715343,1761866492.375749,nan,0.550000,0.083709
error,6.727790,1761866492.388197,0.021951,0.550000,0.083709
command,6.749695,1761866492.410102,nan,0.300000,0.110880
error,6.764814,1761866492.425221,0.065854,0.300000,0.110880
command,6.780211,1761866492.440618,nan,0.300000,0.165822
error,6.791477,1761866492.451884,0.121951,0.300000,0.165822
command,6.815980,1761866492.476387,nan,0.300000,0.239221
error,6.829862,1761866492.490268,0.187805,0.300000,0.239221
command,6.846198,1761866492.506604,nan,0.300000,0.308658
error,6.858796,1761866492.519202,0.256098,0.300000,0.308658
command,6.880546,1761866492.540952,nan,0.300000,0.362529
error,6.899643,1761866492.560049,0.351220,0.300000,0.362529
command,6.912984,1761866492.573390,nan,0.300000,0.510521
error,6.926530,1761866492.586936,0.480488,0.300000,0.510521
command,6.948020,1761866492.608427,nan,0.300000,0.683139
error,6.964438,1761866492.624845,0.480488,0.300000,0.683139
command,6.978648,1761866492.639055,nan,0.300000,0.336341
error,6.991692,1761866492.652098,0.480488,0.300000,0.336341
command,7.014680,1761866492.675086,nan,0.300000,0.336341
error,7.030281,1761866492.690688,0.480488,0.300000,0.336341
command,7.043770,1761866492.704177,nan,0.300000,0.336341
error,7.068439,1761866492.728846,0.480488,0.300000,0.336341
command,7.078735,1761866492.739142,nan,0.300000,0.336341
error,7.093142,1761866492.753549,0.480488,0.300000,0.336341
command,7.111045,1761866492.771452,nan,0.300000,0.336341
error,7.125327,1761866492.785734,0.480488,0.300000,0.336341
command,7.145215,1761866492.805622,nan,0.300000,0.336341
error,7.164490,1761866492.824897,0.480488,0.300000,0.336341
command,7.177091,1761866492.837498,nan,0.300000,0.336341
error,7.192817,1761866492.853224,0.480488,0.300000,0.336341
command,7.211339,1761866492.871746,nan,0.300000,0.336341
error,7.234039,1761866492.894446,0.480488,0.300000,0.336341
command,7.244200,1761866492.904607,nan,0.300000,0.336341
error,7.258928,1761866492.919335,0.480488,0.300000,0.336341
command,7.275521,1761866492.935927,nan,0.300000,0.336341
error,7.293615,1761866492.954021,0.480488,0.300000,0.336341
command,7.307937,1761866492.968344,nan,0.300000,0.336341
error,7.332567,1761866492.992974,0.480488,0.300000,0.336341
command,7.343239,1761866493.003645,nan,0.300000,0.336341
error,7.360056,1761866493.020463,0.480488,0.300000,0.336341
command,7.373481,1761866493.033888,nan,0.300000,0.336341
error,7.400067,1761866493.060474,0.492683,0.300000,0.336341
command,7.407494,1761866493.067900,nan,0.300000,0.378096
error,7.424925,1761866493.085331,0.358537,0.300000,0.378096
command,7.440754,1761866493.101161,nan,0.300000,-0.112594
error,7.459591,1761866493.119998,0.221951,0.300000,-0.112594
command,7.473014,1761866493.133421,nan,0.300000,-0.216404
error,7.492041,1761866493.152447,0.090244,0.300000,-0.216404
command,7.506146,1761866493.166553,nan,0.300000,-0.292898
error,7.525461,1761866493.185868,-0.017073,0.300000,-0.292898
command,7.539191,1761866493.199598,nan,0.300000,-0.303564
error,7.566932,1761866493.227339,-0.073171,0.300000,-0.303564
