type,stamp_relative,stamp_absolute,error,linear_x,angular_z
error,3.828013,1761865605.806555,-0.429268,0.300000,-0.661516
command,3.845093,1761865605.823635,nan,0.300000,-0.300488
error,3.869549,1761865605.848090,-0.429268,0.300000,-0.300488
command,3.879469,1761865605.858011,nan,0.300000,-0.300488
error,3.896446,1761865605.874988,-0.429268,0.300000,-0.300488
command,3.910671,1761865605.889213,nan,0.300000,-0.300488
error,3.934067,1761865605.912609,-0.429268,0.300000,-0.300488
command,3.944651,1761865605.923193,nan,0.300000,-0.300488
error,3.962499,1761865605.941041,-0.429268,0.300000,-0.300488
command,3.977014,1761865605.955556,nan,0.300000,-0.300488
error,4.000730,1761865605.979271,-0.429268,0.300000,-0.300488
command,4.011052,1761865605.989594,nan,0.300000,-0.300488
error,4.028711,1761865606.007253,-0.429268,0.300000,-0.300488
command,4.043321,1761865606.021863,nan,0.300000,-0.300488
error,4.067987,1761865606.046529,-0.443902,0.300000,-0.300488
command,4.076911,1761865606.055453,nan,0.300000,-0.351464
error,4.094515,1761865606.073057,-0.370732,0.300000,-0.351464
command,4.109112,1761865606.087654,nan,0.300000,-0.063710
error,4.135585,1761865606.114127,-0.307317,0.300000,-0.063710
command,4.144106,1761865606.122648,nan,0.300000,-0.044735
error,4.161754,1761865606.140296,-0.256098,0.300000,-0.044735
command,4.175005,1761865606.153547,nan,0.300000,-0.037288
error,4.193922,1761865606.172464,-0.204878,0.300000,-0.037288
command,4.208126,1761865606.186668,nan,0.300000,-0.003790
error,4.226474,1761865606.205016,-0.195122,0.300000,-0.003790
command,4.241355,1761865606.219897,nan,0.300000,-0.110075
error,4.259734,1761865606.238275,-0.207317,0.300000,-0.110075
command,4.273482,1761865606.252024,nan,0.300000,-0.179183
error,4.301736,1761865606.280277,-0.217073,0.300000,-0.179183
command,4.308442,1761865606.286984,nan,0.300000,-0.178463
error,4.327294,1761865606.305836,-0.221951,0.300000,-0.178463
command,4.340013,1761865606.318555,nan,0.300000,-0.168542
error,4.359851,1761865606.338393,-0.214634,0.300000,-0.168542
command,4.373169,1761865606.351711,nan,0.300000,-0.130402
error,4.400272,1761865606.378814,-0.200000,0.300000,-0.130402
command,4.406579,1761865606.385121,nan,0.300000,-0.098985
error,4.427137,1761865606.405679,-0.180488,0.300000,-0.098985
command,4.438569,1761865606.417111,nan,0.300000,-0.073639
error,4.469265,1761865606.447807,-0.153659,0.300000,-0.073639
command,4.472583,1761865606.451125,nan,0.300000,-0.126341
error,4.493971,1761865606.472513,-0.126829,0.300000,-0.126341
command,4.505430,1761865606.483972,nan,0.300000,0.058005
error,4.527047,1761865606.505589,-0.104878,0.300000,0.058005
command,4.537699,1761865606.516241,nan,0.300000,-0.013316
error,4.567101,1761865606.545642,-0.085366,0.300000,-0.013316
command,4.571737,1761865606.550279,nan,0.300000,-0.006922
error,4.594521,1761865606.573063,-0.073171,0.300000,-0.006922
command,4.604586,1761865606.583128,nan,0.300000,-0.017888
error,4.636488,1761865606.615030,-0.063415,0.300000,-0.017888
command,4.639711,1761865606.618253,nan,0.300000,-0.051220
error,4.661636,1761865606.640178,-0.060976,0.300000,-0.051220
command,4.671022,1761865606.649564,nan,0.300000,-0.008387
error,4.699315,1761865606.677856,-0.053659,0.300000,-0.008387
command,4.704284,1761865606.682826,nan,0.300000,-0.017707
error,4.727078,1761865606.705620,-0.048780,0.300000,-0.017707
command,4.736438,1761865606.714980,nan,0.300000,-0.020463
error,4.760136,1761865606.738678,-0.048780,0.300000,-0.020463
command,4.769652,1761865606.748194,nan,0.300000,-0.034146
error,4.803845,1761865606.782387,-0.056098,0.300000,-0.034146
command,4.803873,1761865606.782415,nan,0.300000,-0.034146
error,4.827294,1761865606.805835,-0.048780,0.300000,-0.034146
command,4.836060,1761865606.814601,nan,0.300000,-0.034146
error,4.860176,1761865606.838718,-0.053659,0.300000,-0.034146
command,4.869312,1761865606.847853,nan,0.300000,-0.050777
error,4.899858,1761865606.878400,-0.056098,0.300000,-0.050777
command,4.902207,1761865606.880749,nan,0.300000,-0.037561
error,4.926789,1761865606.905330,-0.056098,0.300000,-0.037561
command,4.936151,1761865606.914692,nan,0.300000,-0.045857
command,4.968552,1761865606.947093,nan,0.300000,-0.039268
error,4.969488,1761865606.948030,-0.073171,0.300000,-0.039268
error,4.994793,1761865606.973335,-0.092683,0.300000,-0.039268
command,5.001304,1761865606.979846,nan,0.300000,-0.165440
error,5.026568,1761865607.005109,-0.119512,0.300000,-0.165440
command,5.033561,1761865607.012103,nan,0.300000,-0.158244
error,5.060552,1761865607.039093,-0.148780,0.300000,-0.158244
command,5.066902,1761865607.045444,nan,0.300000,-0.183565
error,5.093025,1761865607.071567,-0.178049,0.300000,-0.183565
command,5.100497,1761865607.079039,nan,0.300000,-0.203171
command,5.132130,1761865607.110672,nan,0.300000,-0.124634
error,5.134913,1761865607.113455,-0.219512,0.300000,-0.124634
error,5.160383,1761865607.138925,-0.260976,0.300000,-0.124634
command,5.166792,1761865607.145334,nan,0.300000,-0.403512
command,5.199465,1761865607.178007,nan,0.300000,-0.182683
error,5.200283,1761865607.178825,-0.309756,0.300000,-0.182683
error,5.226383,1761865607.204925,-0.380488,0.300000,-0.182683
command,5.231380,1761865607.209922,nan,0.300000,-0.598618
command,5.266790,1761865607.245332,nan,0.300000,-0.266341
error,5.273890,1761865607.252431,-0.434146,0.300000,-0.266341
error,5.296933,1761865607.275475,-0.482927,0.300000,-0.266341
command,5.298408,1761865607.276950,nan,0.300000,-0.448182
error,5.326475,1761865607.305017,-0.475610,0.300000,-0.448182
command,5.330229,1761865607.308770,nan,0.300000,-0.446789
command,5.364742,1761865607.343284,nan,0.300000,-0.332927
error,5.367713,1761865607.346255,-0.456098,0.300000,-0.332927
error,5.394845,1761865607.373387,-0.421951,0.300000,-0.332927
command,5.396814,1761865607.375355,nan,0.300000,-0.264806
command,5.429946,1761865607.408488,nan,0.300000,-0.203463
error,5.434465,1761865607.413007,-0.336585,0.300000,-0.203463
error,5.463598,1761865607.442140,-0.270732,0.300000,-0.203463
command,5.463633,1761865607.442174,nan,0.300000,-0.002814
command,5.495630,1761865607.474172,nan,0.300000,-0.007281
error,5.499370,1761865607.477911,-0.209756,0.300000,-0.007281
error,5.526366,1761865607.504907,-0.168293,0.300000,-0.007281
command,5.529472,1761865607.508013,nan,0.300000,0.014956
error,5.560756,1761865607.539298,-0.163415,0.300000,0.014956
command,5.562473,1761865607.541015,nan,0.300000,-0.004632
command,5.597127,1761865607.575669,nan,0.300000,-0.100805
error,5.601451,1761865607.579993,-0.165854,0.300000,-0.100805
command,5.628477,1761865607.607019,nan,0.300000,-0.122668
error,5.629109,1761865607.607651,-0.185366,0.300000,-0.122668
command,5.661060,1761865607.639602,nan,0.300000,-0.183583
error,5.666149,1761865607.644691,-0.204878,0.300000,-0.183583
error,5.694638,1761865607.673180,-0.219512,0.300000,-0.183583
command,5.694761,1761865607.673303,nan,0.300000,-0.195939
command,5.726938,1761865607.705480,nan,0.300000,-0.193686
error,5.732498,1761865607.711040,-0.226829,0.300000,-0.193686
command,5.760653,1761865607.739195,nan,0.300000,-0.178758
error,5.761101,1761865607.739643,-0.221951,0.300000,-0.178758
command,5.795957,1761865607.774499,nan,0.300000,-0.142041
error,5.806540,1761865607.785082,-0.190244,0.300000,-0.142041
command,5.825508,1761865607.804050,nan,0.300000,-0.045551
error,5.828405,1761865607.806947,-0.153659,0.300000,-0.045551
command,5.858412,1761865607.836954,nan,0.300000,-0.007647
error,5.860506,1761865607.839047,-0.090244,0.300000,-0.007647
command,5.892265,1761865607.870807,nan,0.300000,0.110514
error,5.899735,1761865607.878276,-0.041463,0.300000,0.110514
command,5.924183,1761865607.902725,nan,0.300000,0.104440
error,5.926839,1761865607.905381,0.036585,0.300000,0.104440
command,5.960769,1761865607.939311,nan,0.300000,0.232583
error,5.975668,1761865607.954210,0.131707,0.300000,0.232583
command,5.990072,1761865607.968614,nan,0.300000,0.356556
error,5.994972,1761865607.973514,0.246341,0.300000,0.356556
command,6.023943,1761865608.002485,nan,0.300000,0.479805
error,6.027059,1761865608.005601,0.395122,0.300000,0.479805
command,6.056614,1761865608.035156,nan,0.300000,0.684953
error,6.059873,1761865608.038415,0.563415,0.300000,0.684953
command,6.089339,1761865608.067881,nan,0.300000,0.856647
error,6.093198,1761865608.071740,0.563415,0.300000,0.856647
command,6.125461,1761865608.104003,nan,0.300000,0.394390
error,6.135074,1761865608.113616,0.563415,0.300000,0.394390
command,6.155894,1761865608.134436,nan,0.300000,0.394390
error,6.160544,1761865608.139086,0.563415,0.300000,0.394390
command,6.191070,1761865608.169611,nan,0.300000,0.394390
error,6.202577,1761865608.181119,0.585366,0.300000,0.394390
command,6.221790,1761865608.200332,nan,0.300000,0.469282
error,6.227202,1761865608.205744,0.419512,0.300000,0.469282
command,6.255973,1761865608.234515,nan,0.300000,-0.162362
error,6.266100,1761865608.244642,0.275610,0.300000,-0.162362
command,6.287898,1761865608.266440,nan,0.300000,-0.200206
error,6.295331,1761865608.273873,0.114634,0.300000,-0.200206
command,6.320662,1761865608.299204,nan,0.300000,-0.357411
error,6.326184,1761865608.304726,-0.029268,0.300000,-0.357411
command,6.353432,1761865608.331974,nan,0.300000,-0.415523
error,6.359646,1761865608.338188,-0.119512,0.300000,-0.415523
command,6.390385,1761865608.368927,nan,0.300000,-0.331124
error,6.399724,1761865608.378266,-0.160976,0.300000,-0.331124
command,6.419813,1761865608.398355,nan,0.300000,-0.224593
error,6.426593,1761865608.405134,-0.158537,0.300000,-0.224593
command,6.455965,1761865608.434507,nan,0.300000,-0.104339
error,6.468181,1761865608.446723,-0.119512,0.300000,-0.104339
command,6.485825,1761865608.464366,nan,0.300000,0.023917
error,6.493422,1761865608.471964,-0.056098,0.300000,0.023917
command,6.521142,1761865608.499684,nan,0.300000,0.132282
error,6.532065,1761865608.510607,0.009756,0.300000,0.132282
command,6.552402,1761865608.530943,nan,0.300000,0.184804
error,6.560228,1761865608.538769,0.082927,0.300000,0.184804
command,6.586387,1761865608.564929,nan,0.300000,0.262074
error,6.599795,1761865608.578337,0.156098,0.300000,0.262074
command,6.617909,1761865608.596451,nan,0.300000,0.305522
error,6.628480,1761865608.607022,0.217073,0.300000,0.305522
command,6.653990,1761865608.632532,nan,0.300000,0.318016
error,6.665869,1761865608.644411,0.282927,0.300000,0.318016
command,6.683956,1761865608.662498,nan,0.300000,0.378643
error,6.693044,1761865608.671586,0.334146,0.300000,0.378643
command,6.716939,1761865608.695481,nan,0.300000,0.373609
error,6.725865,1761865608.704406,0.380488,0.300000,0.373609
command,6.752719,1761865608.731261,nan,0.300000,0.392596
error,6.765416,1761865608.743958,0.421951,0.300000,0.392596
command,6.783432,1761865608.761974,nan,0.300000,0.407944
error,6.795954,1761865608.774496,0.434146,0.300000,0.407944
command,6.815083,1761865608.793625,nan,0.300000,0.337795
error,6.826031,1761865608.804573,0.431707,0.300000,0.337795
command,6.852114,1761865608.830656,nan,0.300000,0.295679
error,6.865758,1761865608.844300,0.400000,0.300000,0.295679
command,6.881361,1761865608.859903,nan,0.300000,0.192374
error,6.892852,1761865608.871393,0.353659,0.300000,0.192374
command,6.918046,1761865608.896587,nan,0.300000,0.119632
error,6.933925,1761865608.912467,0.331707,0.300000,0.119632
command,6.947046,1761865608.925588,nan,0.300000,0.173126
error,6.964378,1761865608.942920,0.304878,0.300000,0.173126
command,6.980969,1761865608.959511,nan,0.300000,0.141223
error,6.993767,1761865608.972309,0.314634,0.300000,0.141223
command,7.016034,1761865608.994576,nan,0.300000,0.247017
error,7.032765,1761865609.011307,0.348780,0.300000,0.247017
command,7.046681,1761865609.025223,nan,0.300000,0.337837
error,7.059834,1761865609.038376,0.465854,0.300000,0.337837
command,7.079440,1761865609.057982,nan,0.300000,0.645648
error,7.092623,1761865609.071165,0.465854,0.300000,0.645648
command,7.111634,1761865609.090176,nan,0.300000,0.326098
error,7.135728,1761865609.114270,0.465854,0.300000,0.326098
command,7.146301,1761865609.124843,nan,0.300000,0.326098
error,7.162421,1761865609.140962,0.465854,0.300000,0.326098
command,7.178608,1761865609.157150,nan,0.300000,0.326098
error,7.195938,1761865609.174479,0.465854,0.300000,0.326098
command,7.210859,1761865609.189401,nan,0.300000,0.326098
error,7.228148,1761865609.206690,0.465854,0.300000,0.326098
command,7.244278,1761865609.222820,nan,0.300000,0.326098
error,7.261726,1761865609.240268,0.507317,0.300000,0.326098
command,7.276242,1761865609.254784,nan,0.300000,0.470460
error,7.294794,1761865609.273336,0.404878,0.300000,0.470460
command,7.309579,1761865609.288121,nan,0.300000,0.004637
error,7.333166,1761865609.311707,0.292683,0.300000,0.004637
command,7.343464,1761865609.322006,nan,0.300000,-0.095978
error,7.361096,1761865609.339638,0.175610,0.300000,-0.095978
command,7.375484,1761865609.354026,nan,0.300000,-0.199442
error,7.400609,1761865609.379151,0.090244,0.300000,-0.199442
command,7.410099,1761865609.388641,nan,0.300000,-0.168926
error,7.428055,1761865609.406597,0.046341,0.300000,-0.168926
command,7.441958,1761865609.420500,nan,0.300000,-0.086165
error,7.461786,1761865609.440328,0.031707,0.300000,-0.086165
command,7.475157,1761865609.453699,nan,0.300000,-0.017541
error,7.492071,1761865609.470613,0.036585,0.300000,-0.017541
command,7.508250,1761865609.486792,nan,0.300000,0.038880
error,7.532314,1761865609.510856,0.060976,0.300000,0.038880
command,7.542281,1761865609.520823,nan,0.300000,0.110991
error,7.559900,1761865609.538441,0.114634,0.300000,0.110991
command,7.574270,1761865609.552812,nan,0.300000,0.222480
error,7.593442,1761865609.571984,0.173171,0.300000,0.222480
command,7.606304,1761865609.584846,nan,0.300000,0.285058
error,7.634393,1761865609.612935,0.248780,0.300000,0.285058
command,7.640277,1761865609.618819,nan,0.300000,0.380315
error,7.660579,1761865609.639120,0.336585,0.300000,0.380315
command,7.673216,1761865609.651758,nan,0.300000,0.469392
error,7.692484,1761865609.671026,0.431707,0.300000,0.469392
